2	95.6	2.64
2	95.6	2.57
2	95.6	2.59
2	95.6	2.59
2	95.6	2.59
2	95.6	2.62
2	95.6	2.58
2	95.6	2.69
2	95.6	2.62
2	95.6	2.60
4	95.6	1.75
4	95.6	1.74
4	95.6	1.65
4	95.6	1.75
4	95.6	1.73
4	95.6	1.71
4	95.6	1.67
4	95.6	1.65
4	95.6	1.69
4	95.6	1.62
5	95.6	1.44
5	95.6	1.42
5	95.6	1.40
5	95.6	1.47
5	95.6	1.49
5	95.6	1.44
5	95.6	1.43
5	95.6	1.49
5	95.6	1.43
5	95.6	1.42
6	95.6	1.41
6	95.6	1.41
6	95.6	1.36
6	95.6	1.43
6	95.6	1.40
6	95.6	1.45
6	95.6	1.50
6	95.6	1.35
6	95.6	1.30
6	95.6	1.45
10	95.6	1.05
10	95.6	1.01
10	95.6	1.02
10	95.6	1.01
10	95.6	1.01
10	95.6	1.06
10	95.6	1.01
10	95.6	1.06
10	95.6	1.02
10	95.6	1.01
12	95.6	1.00
12	95.6	0.94
12	95.6	0.94
12	95.6	0.98
12	95.6	0.93
12	95.6	0.91
12	95.6	0.93
12	95.6	0.91
12	95.6	0.93
12	95.6	0.93

